Class,Message,clean_message,augmented_message
0,He is a womdarfull actor,he is a womdarfull actor,helium be angstrom womdarfull actor
1,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sms ac blind date 4u rodds1 is 21m from aberdeen united kingdom check him out httpimg sms acwicmb3cktz8r74 no blind dates send hide,samarium actinium blind date 4u rodds1 be 21m from Aberdeen unite kingdom check him out httpimg samarium acwicmb3cktz8r74 no blind date send hide
0,Yup... From what i remb... I think should be can book...,yup from what i remb i think should be can book,yup from what iodine remb iodine think should beryllium can book
0,Jos ask if u wana meet up?,jos ask if u wana meet up,jos ask if uracil wana meet up
0,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,lol yes our friendship is hanging on a thread cause u wont buy stuff,lol yes our friendship be hanging on angstrom thread cause uracil habit bargain material
1,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468,themob check out our new choice of content game tone chitchat baby and sport support your Mobile fit and fetid text wap to 82468
0,Where are the garage keys? They aren't on the bookshelf,where are the garage keys they arent on the bookshelf,where are the garage key they arent on the bookshelf
0,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,today is accept dayu accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,today be accept dayu accept Maine arsenic brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
1,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",think ur smart  win 200 this week in our weekly quiz text play to 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week,think Ur smart win two_hundred this week inch our weekly quiz text play to 85222 nowtcs winnersclub polonium box eighty-four m26 3uz sixteen gbp150week
0,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,he says hell give me a call when his friends got the money but that hes definitely buying before the end of the week,helium say hell give Maine angstrom call when his friend get the money merely that helium decidedly buying earlier the end of the week
0,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",hi the way i was with u 2day is the normal waythis is the real me ur uniquei hope i know u 4 the rest of mylife hope u find wot was lost,hello the manner iodine Washington with uracil 2day be the convention waythis be the real_number Maine Ur uniquei hope iodine know uracil four the remainder of mylife hope uracil discovery wot Washington doomed
0,You made my day. Do have a great day too.,you made my day do have a great day too,you make my day bash rich_person angstrom great day excessively
0,K.k:)advance happy pongal.,kkadvance happy pongal,kkadvance happy pongal
0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",hmmm guess we can go 4 kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,hmmm guess we can go four kilobit nitrogen power yoga haha dunno we can tahan power yoga anot thk get lo oso forget Liao
0,"Not really dude, have no friends i'm afraid :(",not really dude have no friends im afraid ,not truly fellow rich_person no friend im afraid
1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906,December lone have your Mobile 11mths you are entitle to update to the latest coloring_material camera Mobile for free call the Mobile update carbon_monoxide free on 08002986906
0,"Coffee cake, i guess...",coffee cake i guess,coffee cake iodine guess
0,"Merry Christmas to you too babe, i love ya *kisses*",merry christmas to you too babe i love ya kisses,gay Christmas to you excessively baby iodine love ya kiss
0,Hey... Why dont we just go watch x men and have lunch... Haha,hey why dont we just go watch x men and have lunch haha,hey why dont we just go watch ten work_force and rich_person lunch haha
0,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full  im still waitin 4 1 pete x,cud uracil Tell ppl im gona bacillus angstrom spot l8 cosine two bus hav gon past cosine they be full_moon im still waitin four one pete ten
0,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,that would be great well be at the guild could meet on bristol road or somewhere  will get in touch over weekend our plans take flight have a good week,that would beryllium great well beryllium astatine the club could meet on Bristol road Oregon somewhere volition get inch touch over weekend our plan return flight rich_person angstrom good week
0,No problem. How are you doing?,no problem how are you doing,no problem how are you make
0,No calls..messages..missed calls,no callsmessagesmissed calls,no callsmessagesmissed call
0,Hi da:)how is the todays class?,hi dahow is the todays class,hello dahow be the today class
0,"I'd say that's a good sign but, well, you know my track record at reading women",id say thats a good sign but well you know my track record at reading women,Idaho say thats angstrom good sign merely well you know my path record astatine reading woman
0,"Cool, text me when you're parked",cool text me when youre parked,cool text Maine when youre park
0,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,im reading the text i just sent you its meant to be a joke so read it in that light,im reading the text iodine just sent you information_technology mean to beryllium angstrom joke sol read information_technology inch that light
0,K.k:)apo k.good movie.,kkapo kgood movie,kkapo kgood movie
0,Maybe i could get book out tomo then return it immediately ..? Or something.,maybe i could get book out tomo then return it immediately  or something,possibly iodine could get book out tomo then tax_return information_technology immediately Oregon something
1,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,call germany for only 1 pence per minute call from a fixed line via access number 0844 861 85 85 no prepayment direct access,call Germany for lone one penny per minute call from angstrom repair line via entree number 0844 861 eighty-five eighty-five no prepayment direct entree
0,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor,any opportunity you might rich_person have with Maine evaporate arsenic soon arsenic you violate my privacy by larceny my telephone number from your employer paperwork not cool astatine all please bash not contact Maine again Oregon iodine volition report you to your supervisor
1,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150pmsg rcvd custcare08718720201,valentine day special win over thousand inch our quiz and return your spouse on the trip of angstrom life send go to 83600 now 150pmsg rcvd custcare08718720201
0,"Ta-Daaaaa! I am home babe, are you still up ?",tadaaaaa i am home babe are you still up ,tadaaaaa iodine americium home baby are you still up
0,Cool. So how come you havent been wined and dined before?,cool so how come you havent been wined and dined before,cool sol how semen you havent be wine and dine earlier
0,Just sleeping..and surfing,just sleepingand surfing,just sleepingand surfing
0,"Sorry, I'll call later",sorry ill call later,regretful ailment call later
0,U calling me right? Call my hand phone...,u calling me right call my hand phone,uracil career Maine right call my hand telephone
0,Ok that's great thanx a lot.,ok thats great thanx a lot,Oklahoma thats great thanx angstrom batch
0,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,i take it the post has come then you must have 1000s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,iodine return information_technology the post hour_angle semen then you must rich_person thousand of text now happy reading my one from wiv hello Caroline astatine the end be my front-runner bless him
0,Where u been hiding stranger?,where u been hiding stranger,where uracil be concealment stranger
0,Am not interested to do like that.,am not interested to do like that,americium not interest to bash like that
0,My sister cleared two round in birla soft yesterday.,my sister cleared two round in birla soft yesterday,my sister unclutter two round inch birla soft yesterday
0,Gudnite....tc...practice going on,gudnitetcpractice going on,gudnitetcpractice departure on
0,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,Dis be yijue iodine jus proverb Ur mail inch case huiming havent sent uracil my num Dis be my num
0,One small prestige problem now.,one small prestige problem now,one small prestige problem now
1,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,fancy a shag i dointerested sextextukcom txt xxuk suzy to 69876 txts cost 150 per msg tncs on website x,illusion angstrom shag iodine dointerested sextextukcom txt xxuk suzy to 69876 txts cost one_hundred_fifty per monosodium_glutamate tncs on web_site ten
0,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,just checking in on you really do miss seeing jeremiah do have a great month,just check inch on you truly bash girl visual_perception Jeremiah bash rich_person angstrom great calendar_month
0,"Nah can't help you there, I've never had an iphone",nah cant help you there ive never had an iphone,nah buzzword aid you there ive never have Associate_in_Nursing iphone
0,If you're not in my car in an hour and a half I'm going apeshit,if youre not in my car in an hour and a half im going apeshit,if youre not inch my car inch Associate_in_Nursing hour and angstrom one-half im departure apeshit
0,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good,today be regretful day if ever iodine Washington angry with you if ever iodine misbehave Oregon injury you plz plz just slap urself bcoz information_technology Ur mistake im basically good
0,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,yo you guy ever figure out how much we need for alcohol Jay and iodine are try to figure out how much we can safely spend on weed
0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ltgt ish minutes was 5 minutes ago wtf,ltgt ish minutes Washington five minutes ago wtf
0,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",thank you for callingforgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personmeet you in qatar insha allahrakhesh ex tata aig who joined tisscotayseer,thank you for callingforgot to say happy onam to you sirjii americium fine here and remember you when iodine meet Associate_in_Nursing insurance personmeet you inch Qatar insha allahrakhesh ex-husband tata aig World_Health_Organization join tisscotayseer
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16,praise Ur award five_hundred of cadmium voucher Oregon 125gift guarantee free entry two hundred wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,ur cashbalance is currently 500 pounds  to maximize ur cashin now send cash to 86688 only 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,Ur cashbalance be presently five_hundred pound to maximize Ur cashin now send cash to 86688 lone 150pmsg milliliter 08708800282 hgsuite3422lands roww1j6hl
0,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",im an actor when i work i work in the evening and sleep late since im unemployed at the moment i always sleep late when youre unemployed every day is saturday,im Associate_in_Nursing actor when iodine work iodine work inch the evening and sleep late since im unemployed_people astatine the moment iodine always sleep late when youre unemployed_people every day be Saturday
0,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",hello just got here st andrewsboy its a long way its cold i will keep you posted,hello just get here st andrewsboy information_technology angstrom hanker manner information_technology cold iodine volition support you post
0,Ha ha cool cool chikku chikku:-):-DB-),ha ha cool cool chikku chikkudb,hour_angle hour_angle cool cool chikku chikkudb
0,Oh ok no prob..,oh ok no prob,Ohio Oklahoma no prob
0,Check audrey's status right now,check audreys status right now,check audreys status right now
0,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,busy here trying to finish for new year i am looking forward to finally meeting you,busy here try to coating for new year iodine americium look forward to finally meeting you
0,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",good afternoon sunshine how dawns that day  are we refreshed and happy to be alive do we breathe in the air and smile  i think of you my love  as always,good afternoon sunlight how dawn that day are we review and happy to beryllium alive bash we breathe inch the air and smile iodine think of you my love arsenic always
0,Well i know Z will take care of me. So no worries.,well i know z will take care of me so no worries,well iodine know omega volition return care of Maine sol no concern
1,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",updatenow  xmas offer latest motorola sonyericsson  nokia  free bluetooth double mins  1000 txt on orange call mobileupd8 on 08000839402 or call2optoutf4q,updatenow Christmas offer latest motorola sonyericsson nokia free bluetooth double minute thousand txt on orange call mobileupd8 on 08000839402 Oregon call2optoutf4q
1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,here is your discount code rp176781 to stop further messages reply stop wwwregalportfoliocouk customer services 08717205546,here be your discount code rp176781 to stop foster message answer stop wwwregalportfoliocouk customer services 08717205546
0,Wat uniform? In where get?,wat uniform in where get,wat uniform inch where get
0,"Cool, text me when you're ready",cool text me when youre ready,cool text Maine when youre ready
0,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",hello my boytoy  geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you ,hello my boytoy geeee iodine girl you already and iodine just wake up iodine wish you be here inch bed with Maine caressing Maine iodine love you
0,I will spoil you in bed as well :),i will spoil you in bed as well ,iodine volition spoil you inch bed arsenic well
0,I'm going for bath will msg you next  &lt;#&gt;  min..,im going for bath will msg you next  ltgt  min,im departure for bath volition monosodium_glutamate you following ltgt minute
0,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,iodine buzzword support talk to people if americium not certain iodine can wage them if they agree to monetary_value sol pls Tell Maine what you privation to truly bargain and how much you are volition to wage
1,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",thanks for your ringtone order reference t91 you will be charged gbp 4 per week you can unsubscribe at anytime by calling customer services on 09057039994,thanks for your ringtone order mention t91 you volition beryllium charge gbp four per week you can unsubscribe astatine anytime by career customer services on 09057039994
0,Can you say what happen,can you say what happen,can you say what happen
0,You could have seen me..i did't recognise you Face.:),you could have seen mei didt recognise you face,you could rich_person see Japanese_apricot didt recognize you face
0,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,well there not angstrom batch of things happening inch Lindsay on new old_age sigh some parallel_bars inch ptbo and the blue Hero hour_angle something departure
0,Keep my payasam there if rinu brings,keep my payasam there if rinu brings,support my payasam there if rinu bring
0,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,iodine teach that ranjith sir name Maine sol lone iodine samarium like that becaus helium verify about undertaking prabu state today sol lone dad dont mistake Maine
0,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",i guess thats why you re worried you must know that theres a way the body repairs itself and im quite sure you shouldnt worry well take it slow first the tests they will guide when your ovulation is then just relax nothing youve said is a reason to worry but ill keep on followin you up,iodine guess thats why you rhenium worry you must know that there angstrom manner the body repair itself and im quite certain you shouldnt concern well return information_technology decelerate first the trial they volition usher when your ovulation be then just relax nothing youve state be angstrom reason to concern merely ailment support on followin you up
0,"Yeah sure, give me a couple minutes to track down my wallet",yeah sure give me a couple minutes to track down my wallet,yea certain give Maine angstrom couple minutes to path down my wallet
0,Hey leave it. not a big deal:-) take care.,hey leave it not a big deal take care,hey leave information_technology not angstrom large deal return care
0,Hey i will be late ah... Meet you at 945+,hey i will be late ah meet you at 945,hey iodine volition beryllium late ah meet you astatine 945
1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on 08000839402 or call2optoutn9dx,double minute and txts four 6months free bluetooth on orange available on sony nokia motorola telephone call mobileupd8 on 08000839402 Oregon call2optoutn9dx
0,It took Mr owl 3 licks,it took mr owl 3 licks,information_technology take Mister owl three salt_lick
0,Customer place i will call you.,customer place i will call you,customer topographic_point iodine volition call you
0,Mm that time you dont like fun,mm that time you dont like fun,millimeter that time you dont like fun
1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,4mths half price orange line rental  latest camera phones 4 free had your phone 11mths  call mobilesdirect free on 08000938767 to update now or2stoptxt,4mths one-half monetary_value orange line lease latest camera telephone four free have your telephone 11mths call mobilesdirect free on 08000938767 to update now or2stoptxt
0,Yup having my lunch buffet now.. U eat already?,yup having my lunch buffet now u eat already,yup have my lunch buffet now uracil eat already
0,Huh so late... Fr dinner?,huh so late fr dinner,huh sol late francium dinner
0,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,hey so this sat are we going for the intro pilates only or the kickboxing too,hey sol this Saturday are we departure for the presentation Pilate lone Oregon the kickboxing excessively
0,Morning only i can ok.,morning only i can ok,morning lone iodine can Oklahoma
0,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,yes iodine think sol iodine americium inch office merely my lap be inch room iodine think thats on for the stopping_point few days iodine didnt close that down
0,Pick you up bout 7.30ish? What time are  and that going?,pick you up bout 730ish what time are  and that going,choice you up turn 730ish what time are and that departure
0,From here after The performance award is calculated every two month.not for current one month period..,from here after the performance award is calculated every two monthnot for current one month period,from here after the performance award be calculate every two monthnot for current one calendar_month time_period
0,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,was actually sleeping and still might when u call back so a text is gr8 you rock sis will send u a text wen i wake,Washington actually sleeping and still might when uracil call back sol angstrom text be gr8 you rock sister volition send uracil angstrom text sebaceous_cyst iodine aftermath
0,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ive ever met why would i think a picture of your room would hurt you make you feel violated,you are always putt your business out there you put_option picture of your buttocks on facebook you are one of the most open people ive ever meet why would iodine think angstrom picture of your room would injury you brand you feel violate
0,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india,good evening sir aluminum salam wahleykkumsharing angstrom happy newsby the grace of God iodine get Associate_in_Nursing offer from tayseertissco and iodine joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from India
0,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator,hmmmkbut iodine privation to change the field quickly dai wanna get system administrator Oregon network administrator
1,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tones are 3x150pw to end txt stop,free ringtone text first to 87131 for angstrom poly Oregon text get to 87131 for angstrom true tone aid 0845 2814032 sixteen after first free tone are 3x150pw to end txt stop
0,Dear how is chechi. Did you talk to her,dear how is chechi did you talk to her,beloved how be chechi make you talk to her
0,The hair cream has not been shipped.,the hair cream has not been shipped,the hair cream hour_angle not be transport
0,None of that's happening til you get here though,none of thats happening til you get here though,none of thats happening til you get here though
0,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",yep the great loxahatchee xmas tree burning of  ltgt  starts in an hour,yep the great loxahatchee Christmas tree burning of ltgt start inch Associate_in_Nursing hour
0,"Haha get used to driving to usf man, I know a lot of stoners",haha get used to driving to usf man i know a lot of stoners,haha get use to drive to usf man iodine know angstrom batch of stoner
0,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as cant stay late tomorrow same time  place as always,all Washington well until slightly black class this autopsy with my fav darling hope day murder Oklahoma coffee wld beryllium good arsenic buzzword stay late tomorrow Lapp time topographic_point arsenic always
0,Hello! Good week? Fancy a drink or something later?,hello good week fancy a drink or something later,hello good week illusion angstrom drink Oregon something later
0,Headin towards busetop,headin towards busetop,headin towards busetop
0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom,messagesome text miss sendername miss number miss sentdate miss miss uracil angstrom batch thats yttrium everything be miss sent via fullonsmscom
0,Come by our room at some point so we can iron out the plan for this weekend,come by our room at some point so we can iron out the plan for this weekend,semen by our room astatine some point sol we can iron out the plan for this weekend
0,Cos i want it to be your thing,cos i want it to be your thing,cosine iodine privation information_technology to beryllium your thing
0,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",okies ill go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,okies ailment go yan jiu excessively we can skip ard oso go cine lair go mrt one bombast bombast bombast
0,Bring home some Wendy =D,bring home some wendy d,bring home some wendy vitamin_D
1,100 dating service cal;l 09064012103 box334sk38ch,100 dating service call 09064012103 box334sk38ch,hundred dating service call 09064012103 box334sk38ch
0,Whatsup there. Dont u want to sleep,whatsup there dont u want to sleep,whatsup there dont uracil privation to sleep
0,Alright i have a new goal now,alright i have a new goal now,alright iodine rich_person angstrom new goal now
1,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entry into our 250 weekly competition just text the word win to 80086 now 18 tc wwwtxttowincouk,free entry into our 250 weekly competition just text the word win to 80086 now eighteen technetium wwwtxttowincouk
0,"Alright, I'll head out in a few minutes, text me where to meet you",alright ill head out in a few minutes text me where to meet you,alright ailment head out inch angstrom few minutes text Maine where to meet you
1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,send a logo 2 ur lover  2 names joined by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo pobox36504w45wq txtno 4 no ads 150p,send angstrom logo two Ur lover two name_calling join by angstrom heart txt love name1 name2 mobno eg love Adam Eve 07123456789 to 87077 yokel pobox36504w45wq txtno four no ad 150p
0,Yes:)from last week itself i'm taking live call.,yesfrom last week itself im taking live call,yesfrom stopping_point week itself im pickings populate call
1,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline 09111032124  pobox12n146tf150p,person hour_angle reach our dating service and enter your telephone because they illusion you to discovery out World_Health_Organization information_technology be call from angstrom land_line 09111032124 pobox12n146tf150p
0,Siva is in hostel aha:-.,siva is in hostel aha,Siva be inch hostel aha
1,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,urgent your mobile number has been awarded with a 2000 prize guaranteed call 09058094455 from land line claim 3030 valid 12hrs only,pressing your Mobile number hour_angle be award with angstrom 2000 prize guarantee call 09058094455 from land line claim 3030 valid 12hrs lone
0,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,send this to ur friends and receive something about ur voice how is my speaking expression 1childish 2naughty 3sentiment 4rowdy 5ful of attitude 6romantic 7shy 8attractive 9funny  ltgt irritating  ltgt lovable reply me,send this to Ur friend and receive something about Ur voice how be my speaking expression 1childish 2naughty 3sentiment 4rowdy 5ful of attitude 6romantic 7shy 8attractive 9funny ltgt annoy ltgt lovable answer Maine
0,Ok. She'll be ok. I guess,ok shell be ok i guess,Oklahoma shell beryllium Oklahoma iodine guess
0,aathi..where are you dear..,aathiwhere are you dear,aathiwhere are you beloved
0,Any pain on urination any thing else?,any pain on urination any thing else,any pain on micturition any thing else
0,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,7 at esplanade do  mind giving me a lift cos i got no car today,seven astatine esplanade bash mind giving Maine angstrom lift cosine iodine get no car today
0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,i wnt to buy a bmw car urgentlyits vry urgentbut hv a shortage of  ltgt lacsthere is no source to arng dis amt ltgt lacsthats my prob,iodine wnt to bargain angstrom bmw car urgentlyits vry urgentbut hv angstrom deficit of ltgt lacsthere be no beginning to Army_National_Guard Dis amt ltgt lacsthats my prob
0,At home watching tv lor.,at home watching tv lor,astatine home observation television lor
0,Does she usually take fifteen fucking minutes to respond to a yes or no question,does she usually take fifteen fucking minutes to respond to a yes or no question,Department_of_Energy she normally return fifteen fuck minutes to react to angstrom yes Oregon no question
1,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,congrats nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16 close 300603 post bcm4284 ldn wc1n3xx,congrats nokia 3650 video camera telephone be your call 09066382422 call cost 150ppm ave call 3mins change from Mobile sixteen stopping_point 300603 post bcm4284 ldn wc1n3xx
0,Booked ticket for pongal?,booked ticket for pongal,book ticket for pongal
0,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,you available now im like right around hillsborough amp  ltgt th,you available now im like right about hillsborough ampere ltgt Thursday
0,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,the message sent is askin for  ltgt dollars shoul i pay  ltgt  or  ltgt ,the message sent be askin for ltgt dollar shoul iodine wage ltgt Oregon ltgt
0,"Ask g or iouri, I've told the story like ten times already",ask g or iouri ive told the story like ten times already,ask gram Oregon iouri ive state the narrative like ten times already
0,How long does applebees fucking take,how long does applebees fucking take,how hanker Department_of_Energy applebees fuck return
0,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",hi hope u get this txtjourney hasnt been gdnow about 50 mins late i think,hello hope uracil get this txtjourney hasnt be gdnow about fifty minute late iodine think
0,But i have to. I like to have love and arrange.,but i have to i like to have love and arrange,merely iodine rich_person to iodine like to rich_person love and arrange
